ImageNumber,ObjectNumber,Treatment,Prediction,EM_Score
9,74,M,E,0.10768772597559036
9,78,M,E,0.9872980886902027
9,82,M,E,0.495220116935393
9,84,M,E,0.004970196347422085
9,86,M,E,0.01862052975760517
9,88,M,M,0.65655537888952
9,89,M,E,0.1555531897857404
9,90,M,E,0.031839349981137854
9,91,M,E,0.001043608119178194
9,92,M,E,0.02324567329240034
9,94,M,E,0.0045209970743178216
9,95,M,E,0.0029049312753059507
9,96,M,E,0.04676091168197588
9,99,M,M,0.5233742588870273
9,100,M,E,0.005638612943435524
9,101,M,E,0.046161572292876686
9,103,M,E,0.004924510206708554
9,106,M,E,0.6599080693133969
9,107,M,M,0.9998590579525398
9,108,M,E,0.04170925567181951
9,109,M,E,0.06676992460783085
9,110,M,M,0.8950827717178668
9,111,M,M,0.8108363816561841
9,112,M,M,0.999710769997163
9,114,M,E,0.5806007389899219
10,2,M,M,0.9997975003109635
10,3,M,E,0.015106566427121453
10,4,M,E,0.8206056560099788
10,7,M,M,0.9979347139674863
10,9,M,M,0.9134964819634661
10,10,M,E,0.08560016265944974
10,12,M,E,0.00967525520896024
10,13,M,M,0.34020342636964235
10,16,M,E,0.10982141856116538
10,19,M,E,0.19947296154289434
10,21,M,E,0.06897684940354115
10,23,M,E,0.046809654095785726
10,24,M,E,0.013380846267168352
10,25,M,E,0.9457569066161629
10,26,M,E,0.004847253482718043
10,27,M,E,0.5266071934896808
10,28,M,E,0.06464818322618365
10,29,M,M,0.0723530542073798
10,30,M,E,0.030415857915955014
10,31,M,E,0.11394348201153885
10,32,M,E,0.06695522532906782
10,33,M,E,0.25916231900275
10,35,M,E,0.011900646165212771
10,36,M,M,0.9773333513786497
10,37,M,E,0.02156140671361614
10,38,M,E,0.006101672678622922
10,39,M,E,0.15461901134915212
10,40,M,E,0.08211742024165831
10,41,M,E,0.022379294460923346
10,43,M,E,0.00778178404640649
10,44,M,E,0.005030430260473224
10,46,M,E,0.9817135102318201
10,47,M,E,0.0015124948286391333
10,49,M,M,0.9627572363677
10,50,M,E,0.26626806014060855
10,53,M,E,0.7827135011165889
10,54,M,E,0.07175375766077667
10,55,M,M,0.9999999825288396
10,58,M,M,0.43590500537944765
10,59,M,E,0.40603608919189405
10,60,M,E,0.006264226309531032
10,61,M,E,0.00338557029002896
10,62,M,M,0.9725837386290289
10,63,M,E,0.0014743200743658205
10,64,M,E,0.0691697392765963
10,65,M,M,0.9330414154016595
10,66,M,E,0.4381046508858921
10,67,M,E,0.052329091744358375
10,68,M,M,0.9999988147580795
10,69,M,E,0.9375780061645144
10,70,M,E,0.02227793607957661
10,71,M,E,0.9835083094489855
10,75,M,E,0.023250142052738745
10,76,M,E,0.9756765684748662
10,78,M,E,0.004893039273329403
10,79,M,M,0.5287697749046053
10,80,M,E,0.9976006874051995
10,82,M,E,0.045525636658862396
10,83,M,E,0.14050516887402006
10,86,M,E,0.24066254596998762
10,88,M,E,0.15916653062862324
10,90,M,E,0.0022604005587193595
10,94,M,M,0.9983339397162809
10,95,M,M,0.5903132803933543
10,96,M,E,0.2942010956226
10,97,M,E,0.02741576725991655
10,99,M,E,0.10221956600962531
11,1,M,E,0.18024914122499286
11,2,M,E,0.0551814437733583
11,3,M,E,0.016814549071750354
11,4,M,M,0.8797519928615963
11,5,M,E,0.6732187547998261
11,7,M,M,0.9996245528126743
11,8,M,M,0.9999999993438926
11,10,M,E,0.4164653067486606
11,12,M,M,0.5474519758051326
11,13,M,E,0.9997397630871835
11,14,M,E,0.4627407926527534
11,15,M,M,0.6863517646649167
11,16,M,M,0.20905625100491493
11,17,M,E,0.08862116387183282
11,18,M,E,0.24409613070257594
11,23,M,E,0.0014141083619586476
11,24,M,E,0.08651373880171621
11,25,M,E,0.014932608429130271
11,28,M,E,0.08909781055187402
11,29,M,E,0.9999842022626128
11,30,M,E,0.04889135992370272
11,31,M,E,0.0432325660032303
11,33,M,E,0.03835599710060334
11,34,M,E,0.42225034495666763
11,36,M,E,0.018993396498543744
11,37,M,E,0.015962023355346838
11,39,M,M,0.5903621294318708
11,40,M,M,0.9981914831878215
11,41,M,M,0.9992703560267716
11,44,M,E,0.052426445050558566
11,46,M,E,0.07812891900249162
11,48,M,M,0.2311594601420693
11,49,M,E,0.1778874432138828
11,50,M,E,0.4207573481619464
11,52,M,E,0.7209842287741686
