ImageNumber,ObjectNumber,BaseFile,Prediction,EM_Score
9,26,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.03292710852309035
9,28,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.01775984110423449
9,31,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0035254447456332626
9,32,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.05505573382362398
9,33,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.30325561548316937
9,34,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.21634413164222144
9,35,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.11221399460617905
9,36,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.2806165826244512
9,37,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9678121174749458
9,38,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.13631351480788
9,39,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.03505735653201655
9,40,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.30444036393915164
9,41,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.024550243245029933
9,43,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.021050103312150674
9,45,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.02333932088934788
9,46,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.16154615276012302
9,47,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.07040333457608056
9,48,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.7038453718098995
9,50,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.044307929893324785
9,51,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.002219240403144141
9,52,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9841534528285029
9,53,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.6208848651468253
9,54,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.31094324055467887
9,55,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.1845468038218552
9,56,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0806043182912
9,57,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.5331046581643545
9,59,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.017187279056767465
9,60,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.3722513365777665
9,61,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.09084780300152455
9,62,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.13483642695864032
9,63,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.2166202079416771
9,68,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.01502417523844656
9,69,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.002733348304274993
9,71,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.07291072230069316
9,74,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.35376857314773796
9,78,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.6797245201059445
9,82,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.30022434481690047
9,84,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0015827761633107962
9,86,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.032731928576214896
9,88,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.7173205827999777
9,89,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.1302008395953426
9,90,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.04500462828895752
9,91,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.005320466498230611
9,92,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.004077873771387321
9,94,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.007169084567342257
9,95,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.002268559256327208
9,96,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.026039885920253313
9,99,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.2124668425427198
9,100,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.004113578261362764
9,101,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0992670787983445
9,103,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.01123419174857345
9,106,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.6124166384871175
9,107,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9995148696917445
9,108,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.06351746438503517
9,109,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0317246402128544
9,110,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.446032616898519
9,111,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.3199952714673769
