ImageNumber,ObjectNumber,EM_Score,Predicted_Annotation,Treatment
12,94,0.0017095694475519059,E,M
12,98,0.0032118750216025504,E,M
13,2,0.18384186139076292,E,M
13,3,0.7008948094929064,M,M
13,4,0.09906192614233901,E,M
13,5,0.5870348426422786,M,M
13,6,0.0001716723282728851,E,M
13,7,0.0403220480201429,E,M
13,8,0.19082607925015685,E,M
13,9,1.2322562367307393e-05,E,M
13,10,0.00984308831944918,E,M
13,11,0.015963528421012865,E,M
13,12,0.00029669496396713313,E,M
13,13,0.9791042911464083,M,M
13,14,0.3134720358256965,E,M
13,15,0.06456521123910378,E,M
13,17,0.0004042518556630664,E,M
13,18,0.8895912073292573,M,M
13,19,0.02706601046068237,E,M
13,21,0.9983737015744321,M,M
13,22,0.007122748002999111,E,M
13,23,0.9924679221257021,M,M
13,24,0.3455125686766432,E,M
13,25,0.060020196196605737,E,M
13,26,0.998998408654567,M,M
13,28,0.9024068438685361,M,M
13,29,0.9933456456336617,M,M
13,30,0.00276877161798426,E,M
13,31,0.0008786743909502992,E,M
13,32,0.02666987938083073,E,M
13,33,4.991433997962777e-05,E,M
13,34,0.2012433411398962,E,M
13,35,0.00017555731387877832,E,M
13,36,0.0027891330640849982,E,M
13,37,4.115939219872316e-05,E,M
13,38,0.8032207612686215,M,M
13,39,0.0071346282830375965,E,M
13,40,0.00012083403865314632,E,M
13,41,0.0001000432343385333,E,M
13,42,0.9976214668771499,M,M
13,44,0.000331633534611799,E,M
13,45,0.0004273991058880333,E,M
13,46,0.9948567554209966,M,M
13,47,0.0013395165579586318,E,M
13,48,0.034155864749242086,E,M
13,49,0.00021182976534379528,E,M
13,50,0.0013557840002571553,E,M
13,51,0.04302518695099465,E,M
13,52,0.17898255806296415,E,M
13,53,0.07328818565824188,E,M
13,54,0.0009342995846419552,E,M
13,55,0.0013342176949723726,E,M
13,56,0.002570826085030709,E,M
13,57,0.04872840751948153,E,M
13,58,0.01426341200245147,E,M
13,59,0.0034952732061469313,E,M
13,60,0.03440215808190652,E,M
13,62,0.008943786135114215,E,M
13,63,0.007569427109800113,E,M
13,64,3.0146817817641833e-05,E,M
14,4,0.01344669687729838,E,M
14,6,0.017064466295762457,E,M
14,7,2.269640052628686e-05,E,M
14,8,0.0014499100025511101,E,M
14,9,0.018145119066782355,E,M
14,10,0.011060263254866632,E,M
14,11,0.00032285534379085644,E,M
14,12,0.14679152575071744,E,M
14,14,0.038190503218616736,E,M
14,15,0.9947830603729039,M,M
14,16,0.0002945449008048551,E,M
14,17,0.0006903313935951971,E,M
14,18,0.002439857510469435,E,M
14,19,2.377198881962098e-05,E,M
14,20,0.2742771898681485,E,M
14,21,0.00046936952472003004,E,M
14,22,0.0017408351557719958,E,M
14,24,0.0012066937620793968,E,M
14,25,0.0004962442286050724,E,M
14,26,0.05154076485264251,E,M
14,27,0.010455715913042724,E,M
14,28,0.9931340398650158,M,M
14,29,0.0006223602558310306,E,M
14,30,0.0011447434057278215,E,M
14,31,0.005216035327781643,E,M
14,32,0.009645506490463798,E,M
14,33,0.010473516400311918,E,M
14,34,0.0008443515874518777,E,M
14,35,3.2047472876497083e-06,E,M
14,36,0.007824971018182419,E,M
14,37,0.002028462811753516,E,M
14,38,0.005798423525932323,E,M
14,39,0.07667850476917211,E,M
14,40,6.70727248125697e-05,E,M
14,41,0.0014544029872365226,E,M
14,42,0.00655251879133179,E,M
14,43,0.06282930106621763,E,M
14,44,0.9329388319732149,M,M
14,45,0.0006984290596040711,E,M
14,46,0.8844981609283507,M,M
14,47,0.00312410748202127,E,M
14,48,0.7836808425346489,M,M
14,49,0.1789392700806393,E,M
14,50,0.001586830025437218,E,M
14,51,0.9992982136821323,M,M
14,52,0.005999878243299299,E,M
14,55,0.008091459824969182,E,M
14,56,0.00017335677871226538,E,M
14,57,0.0015544438450373571,E,M
14,58,0.007621937072390641,E,M
14,59,0.009928172443599777,E,M
14,60,0.003830973902734014,E,M
14,61,0.0002518991526573934,E,M
14,62,0.01165305253734678,E,M
14,64,0.028890416152839167,E,M
14,65,0.0008895348941690887,E,M
14,66,0.01618260463968099,E,M
14,67,0.0003494219824957568,E,M
14,68,0.02944513701360867,E,M
14,69,0.00286800756900887,E,M
14,70,0.0002287583442847206,E,M
14,71,0.00040598767030331173,E,M
14,72,0.611928895189589,M,M
14,73,7.306937196505731e-05,E,M
